Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Batting Points,Fours Points,Sixes Points,Single Points,Total Points
Tamim Iqbal,9,9,1,298,69,37.25,251,118.72,0,3,0,29,9,44.22,6.93,8.07,36.11,95.34
Mushfiqur Rahim,10,9,3,157,50,26.16,142,110.56,0,1,2,12,3,28.92,5.07,4.75,51.34,90.09
Jahurul Islam,9,9,4,205,62,41,205,100,0,1,0,17,4,41,4.98,4.39,37.72,88.08
Nurul Hasan,10,9,3,115,35,19.16,98,117.34,0,0,1,9,3,22.48,5.51,6.89,50.31,81.64
Alok Kapali,10,6,3,95,39,31.66,80,118.75,0,0,0,8,2,37.6,6,5.63,53.08,80.99
Mashrafe Mortaza,12,7,2,102,56,20.4,79,129.11,0,1,1,5,6,26.34,3.8,17.09,45.76,79.04
Imrul Kayes,12,12,1,312,67,28.36,272,114.7,0,2,3,32,10,32.53,7.06,8.27,29.07,76.93
Mahmudullah,13,12,2,279,51,27.9,278,100.35,0,2,0,27,3,28,5.83,2.43,38.06,74.31
Yasir Ali,7,5,0,112,63,22.4,99,113.13,0,1,0,6,6,25.34,3.64,13.64,35.72,73.12
Nasir Hossain,11,11,1,193,33,19.3,188,102.65,0,0,0,8,9,19.81,2.55,10.77,39.15,72.29
Shakib Al Hasan,11,11,3,136,33,17,131,103.81,0,0,1,12,2,17.65,5.5,3.44,42.19,68.77
Anamul Haque,10,9,1,142,39,17.75,132,107.57,0,0,1,13,3,19.09,5.91,5.11,38.53,68.64
Sabbir Rahman,13,10,0,189,79,18.9,182,103.84,0,1,1,14,7,19.63,4.62,8.65,31.95,64.84
Mosaddek Hossain,7,7,2,116,30,23.2,123,94.3,0,0,0,9,2,21.88,4.39,3.66,36.86,64.56
Shahriar Nafees,5,5,1,104,44,26,95,109.47,0,0,0,10,3,28.46,6.32,7.11,31.47,63.57
Mohammad Mithun,12,9,1,130,55,16.25,127,102.36,0,1,1,11,4,16.63,5.2,7.09,30.64,59.56
Ziaur Rahman,9,7,2,83,39,16.6,62,133.87,0,0,0,4,6,22.22,3.87,21.77,35.54,57.69
Shuvagata Hom,12,9,1,94,30,11.75,66,142.42,0,0,1,10,4,16.73,9.09,13.64,33.28,56.98
Naeem Islam,4,4,2,87,38,43.5,103,84.46,0,0,0,6,1,36.74,3.5,2.18,35.25,56.31
Junaid Siddique,5,5,1,105,51,26.25,111,94.59,0,1,0,9,3,24.83,4.86,6.08,26.54,54.52
Liton Das,9,9,0,123,42,13.66,132,93.18,0,0,1,12,1,12.73,5.45,1.7,33.62,53.51
Farhad Reza,9,5,1,76,31,19,64,118.75,0,0,0,7,2,22.56,6.56,7.03,42.84,50.03
Soumya Sarkar,12,12,1,177,58,16.09,159,111.32,0,1,1,26,3,17.91,9.81,4.25,17.9,49.87
Rony Talukdar,13,12,0,132,38,11,140,94.28,0,0,1,13,2,10.37,5.57,3.21,29.59,48.75
Mehedi Maruf,10,9,1,126,37,15.75,152,82.89,0,0,1,9,6,13.06,3.55,8.88,15.54,41.03
Nadif Chowdhury,8,5,0,84,30,16.8,100,84,0,0,0,4,3,14.11,2.4,6.75,28.91,36.52
Shadman Islam,4,4,0,86,45,21.5,93,92.47,0,0,0,12,0,19.88,7.74,0,22.01,35.57
Shykat Ali,7,7,0,80,23,11.42,79,101.26,0,0,1,8,2,11.56,6.08,5.7,27.22,33.7
Mominul Haque,8,7,1,78,29,13,92,84.78,0,0,0,12,0,11.02,7.83,0,14.06,21.39
Mahmudul Hasan,6,4,0,72,31,18,101,71.28,0,0,0,9,0,12.83,5.35,0,15.31,20.09
