Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4sDescending,6s,Single Points
Jubair Hossain,1,-,-,-,-,-,-,-,-,-,-,-,-,0
Mohammad Shahid,1,-,-,-,-,-,-,-,-,-,-,-,-,0
Saqlain Sajib,1,-,-,-,-,-,-,-,-,-,-,-,-,0
Sabbir Rahman,21,21,4,554,80,32.58,439,126.19,0,3,0,57,14,43.24
Tamim Iqbal,16,16,2,452,103*,32.28,346,130.63,1,1,0,40,20,36.17
Shakib Al Hasan,19,19,6,351,57*,27,314,111.78,0,2,0,32,7,43.32
Mahmudullah,19,16,6,305,54,30.5,222,137.38,0,1,0,26,10,57.47
Soumya Sarkar,19,19,0,299,48,15.73,267,111.98,0,0,3,35,9,22.17
Mushfiqur Rahim,19,17,3,200,26,14.28,198,101.01,0,0,2,21,1,39.06
Mashrafe Mortaza,21,14,3,104,22,9.45,75,138.66,0,0,4,8,8,16.55
Mohammad Mithun,10,7,0,85,47,12.14,92,92.39,0,0,1,6,3,26.84
Nurul Hasan,6,5,2,54,30*,18,43,125.58,0,0,1,7,0,52.16
Liton Das,3,3,0,49,22,16.33,45,108.88,0,0,0,3,1,56.02
Anamul Haque,2,2,0,48,47,24,53,90.56,0,0,0,3,0,49.77
Imrul Kayes,4,4,0,43,18,10.75,52,82.69,0,0,0,5,1,11.75
Shuvagata Hom,5,4,2,35,16*,17.5,35,100,0,0,0,3,1,21.05
Arafat Sunny,8,5,3,29,10,14.5,24,120.83,0,0,0,2,1,29.59
Nasir Hossain,7,5,0,23,16,4.6,28,82.14,0,0,1,1,1,11.5
Rony Talukdar,1,1,0,21,21,21,22,95.45,0,0,0,0,1,21.43
Muktar Ali,1,1,1,19,19*,-,15,126.66,0,0,0,1,1,18.21
Taskin Ahmed,11,3,2,17,15*,17,18,94.44,0,0,0,1,1,6.51
Mosaddek Hossain,1,1,0,15,15,15,19,78.94,0,0,0,1,0,11.2
Abu Hider,5,1,0,14,14,14,10,140,0,0,0,1,1,7
Mustafizur Rahman,13,5,1,8,6,2,11,72.72,0,0,2,0,1,0.64
Sohag Gazi,1,1,0,3,3,3,6,50,0,0,0,0,0,1.5
Al-Amin Hossain,16,2,1,1,1*,1,4,25,0,0,1,0,0,0.13
