,Player,PlayerID,BattingFitness,BowlingFitness,Over
0,Mahmudullah,1,101.4,48.44,2
1,Shafiul Islam,2,5.1,54,3
2,Nazmul Hossain,3,2.5,63,3
3,Elias Sunny,4,4.3,57,3
4,Raqibul Hasan,5,13.1,0,0
5,Shykat Ali,6,17.92,0,0
6,Abu Jayed,7,0,65,2
7,Jahurul Islam,8,69.68,0,0
8,Saqlain Sajib,9,0,59.3,4
9,Nadif Chowdhury,10,24.3,65,1
10,Mohammad Rafique,11,15.3,72,3
11,Rubel Hossain,12,6.2,63,3
12,Nazimuddin,13,30.4,0,0
13,Mohammad Ashraful,14,34.5,74.5,1
14,Mustafizur Rahman,15,10.9,31.05,4
15,Mahmudul Hasan,16,10.72,63.3,2
16,Yasir Ali,17,38.96,62.3,1
17,Enamul Haque jnr,18,0,58.6,4
18,Abdur Razzak,19,8.3,53.6,4
19,Aftab Ahmed,20,34.1,0,0
20,Syed Rasel,21,4,75,3
21,Rony Talukdar,22,33.8,0,0
22,Mehrab Hossain jnr,23,7.5,61,2
23,Monir Hossain,24,0,0,0
24,Anamul Haque,25,76.9,0,0
25,Sabbir Rahman,26,99.8,45.21,1
26,Muktar Ali,27,35.8,59.6,2
27,Taskin Ahmed,28,16.5,38.78,4
28,Mushfiqur Rahim,29,82.9,0,0
29,Mohammad Shahid,30,0,59,3
30,Shuvagata Hom,31,34.9,52,3
31,Suhrawadi Shuvo,32,1.7,58.54,2
32,Nazmus Sadat,33,4.6,0,0
33,Shakib Al Hasan,34,88.7,41.19,4
34,Mashrafe Mortaza,35,72.7,46.78,4
35,Mohammad Mithun,36,51.04,0,0
36,Tamim Iqbal,37,96.5,0,0
37,Nurul Hasan,38,71.24,0,0
38,Soumya Sarkar,39,62.1,0,0
39,Shahriar Nafees,40,54.72,0,0
40,Liton Das,41,61.1,0,0
41,Mosaddek Hossain,42,34.4,56.2,2
42,Naeem Islam,43,50.16,61.2,1
43,Farhad Reza,44,26.64,61.1,2
44,Al-Amin Hossain,45,6.7,42.11,4
45,Abu Hider,46,23.6,56.9,4
46,Alok Kapali,47,64.24,68.3,1
47,Mosharraf Hossain,48,0,39.2,4
48,Nabil Samad,49,0,64,3
49,Sohag Gazi,50,18.1,58,3
50,Taijul Islam,51,0,54,3
51,Sajedul Islam,52,0,62.3,2
52,Nazmul Hossain Milon,53,24.72,0,0
53,Junaid Siddique,54,51.28,0,0
54,Ziaur Rahman,55,26.4,58.7,2
55,Shamsur Rahman,56,26.56,0,0
56,Mehedi Maruf,57,21.9,0,0
57,Nasir Hossain,58,62.8,51.23,2
58,Imrul Kayes,59,59.2,0,0
59,Arafat Sunny,60,42.6,46.29,4
60,Abul Hasan,61,9.3,65,3
61,Jubair Hossain,62,0,59,3
62,Robiul Islam,63,0,63,3
63,Shadman Islam,64,18.96,0,0
64,Mominul Haque,65,27.12,57.6,1
65,Dhiman Ghosh,66,1.9,0,0
66,Nazmul Islam,67,0,61.1,3
67,Shahadat Hossain,68,7.2,67,2
